cluster_id	length	description	n_members	member_uniprot_accs
UniRef50_A0A0W0U195	594	Soluble lytic murein transglycosylase n=22 Tax=Legionella TaxID=445 RepID=A0A0W0U195_9GAMM	12	A0A0W0VLT1,A0A378J1S3,A0ABY8AQ86,A0A0W0U195,A0A0W0VMP3,A0AAX1EJ51,A0A0W0SDJ4,A0A0W0V506,A0A0W0YYX7,A0A378I9D5,A0A378IVP2,A0A917N9X0
UniRef50_A0A0W0U7H9	192	Transglycosylase SLT domain protein n=25 Tax=Pseudomonadota TaxID=1224 RepID=A0A0W0U7H9_9GAMM	1	A0A0W0U7H9
UniRef50_A0A0W0X215	206	Transglycosylase SLT domain protein n=3 Tax=Legionella TaxID=445 RepID=A0A0W0X215_9GAMM	2	A0A378JQP3,A0A0W0X215
UniRef50_A0A0W0XWG3	791	Penicillin-binding protein 1A n=20 Tax=Legionellales TaxID=118969 RepID=A0A0W0XWG3_9GAMM	7	A0A0W0TJN9,A0A1J8NH07,A0A3A5L7W7,A0A370CJG0,A8PP59,A0A0W0XWG3,A0A2Z5V5M3
UniRef50_A0A0W0YRP2	317	Chitinase class I n=3 Tax=Legionella shakespearei TaxID=45075 RepID=A0A0W0YRP2_9GAMM	1	A0A0W0YRP2
UniRef50_A0A0W0Z1Y5	650	Putative Peptidoglycan domain protein n=5 Tax=Legionella shakespearei TaxID=45075 RepID=A0A0W0Z1Y5_9GAMM	1	A0A0W0Z1Y5
UniRef50_A0A0W1KLI1	419	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS n=70 Tax=Actinomycetaceae TaxID=2049 RepID=A0A0W1KLI1_9ACTO	12	A0A3S9QJP1,A0A7M1QWT4,A0A7M1R2N4,A0AAW6ZN48,A0ABU1T0H2,A0A6H2ELA3,A0ABT9NI88,A0ABT9PHT9,A0ABV3NAQ5,A0ABY5AJE2,A0A0W1KLI1,A0A1H2LL98
UniRef50_A0A0W1KLT5	714	Penicillin-binding protein 1A n=71 Tax=Actinomycetaceae TaxID=2049 RepID=A0A0W1KLT5_9ACTO	16	A0A0W1KLT5,D7BLF1,A0A7M1R205,A0A1H2LCI2,A0A3S9QM84,A0A6H2ENE2,A0A7M1QUA9,A0A448PEL0,A0A4Q9V0V9,A0ABT9NB10,A0ABT9PF69,A0ABX7II07,A0ABY5AJN7,A0ABT9NG33,A0ABY8G2B1,A0ABV3NC53
UniRef50_A0A0W7WSV4	181	Chitinase n=5 Tax=Actinomycetes TaxID=1760 RepID=A0A0W7WSV4_9ACTN	1	A0A0W7WSV4
UniRef50_A0A0W7X9H0	501	Transglycosylase n=16 Tax=Streptomyces TaxID=1883 RepID=A0A0W7X9H0_9ACTN	2	A0A0W7X9H0,A0A6L6WXE0
UniRef50_A0A0W7Z143	297	Lytic transglycosylase n=11 Tax=Comamonadaceae TaxID=80864 RepID=A0A0W7Z143_9BURK	4	A0A0W7Z143,A0ABT3KYK3,A0A1Y0EP11,A0A6A1R513
UniRef50_A0A0W8DU80	142	2-methoxy-6-polyprenyl-1 n=1 Tax=Phytophthora nicotianae TaxID=4792 RepID=A0A0W8DU80_PHYNI	1	A0A0W8DU80
UniRef50_A0A0W8E2U9	678	peptidoglycan glycosyltransferase n=1 Tax=hydrocarbon metagenome TaxID=938273 RepID=A0A0W8E2U9_9ZZZZ	1	A0A0W8E2U9
UniRef50_A0A0W8E9E1	658	Uncharacterized protein n=1 Tax=hydrocarbon metagenome TaxID=938273 RepID=A0A0W8E9E1_9ZZZZ	1	A0A0W8E9E1
UniRef50_A0A0W8FAH2	565	Uncharacterized protein n=1 Tax=hydrocarbon metagenome TaxID=938273 RepID=A0A0W8FAH2_9ZZZZ	1	A0A0W8FAH2
UniRef50_A0A0W8FKQ8	358	Membrane-bound lytic murein transglycosylase b n=1 Tax=hydrocarbon metagenome TaxID=938273 RepID=A0A0W8FKQ8_9ZZZZ	1	A0A0W8FKQ8
UniRef50_A0A0W8FMK1	754	peptidoglycan glycosyltransferase n=4 Tax=Candidatus Deferrimicrobium sp. TaxID=3060586 RepID=A0A0W8FMK1_9ZZZZ	1	A0A0W8FMK1
UniRef50_A0A0W8FRD8	390	Membrane-bound lytic murein transglycosylase d n=1 Tax=hydrocarbon metagenome TaxID=938273 RepID=A0A0W8FRD8_9ZZZZ	1	A0A0W8FRD8
UniRef50_A0A0W8FZP3	751	peptidoglycan glycosyltransferase n=1 Tax=hydrocarbon metagenome TaxID=938273 RepID=A0A0W8FZP3_9ZZZZ	1	A0A0W8FZP3
UniRef50_A0A0W8G8S7	186	Transglycosylase, slt family n=1 Tax=hydrocarbon metagenome TaxID=938273 RepID=A0A0W8G8S7_9ZZZZ	1	A0A0W8G8S7
UniRef50_A0A0W8I2N1	282	LysM domain-containing protein n=22 Tax=Ornithinimicrobiaceae TaxID=2805590 RepID=A0A0W8I2N1_9MICO	6	A0A0W8I2N1,A0A543KJV6,A0ABV5V2E3,A0A1B1NCC5,A0A345NPL6,A0ABQ2F320
UniRef50_A0A0W8I3C7	178	Lytic transglycosylase n=3 Tax=Kocuria TaxID=57493 RepID=A0A0W8I3C7_KOCRO	2	A0A0W8I3C7,M2YGC7
UniRef50_A0A0W8I5N4	428	LysM domain-containing protein n=34 Tax=Ornithinimicrobiaceae TaxID=2805590 RepID=A0A0W8I5N4_9MICO	7	A0A345NKM3,A0A917BHA4,A0A0W8I5N4,A0A1B1N9T9,A0A285VGH8,A0A5J6V3G7,A0ABV5V395
UniRef50_A0A0W8IC78	749	Carboxypeptidase n=45 Tax=Micrococcaceae TaxID=1268 RepID=A0A0W8IC78_9MICC	15	A0A3A4F424,A0A7K1UI01,A0A4R7G6Y6,A0A5R9BMY3,A0A839FZ95,A0A2T0YGN7,A0A7X8TJ69,A0A7Z0J2D2,A0A1I7MJY2,A0A5R9A3I9,A0A0W8IC78,A0A7X8YEZ0,A0ABP9FWE4,A0ABY8H5P9,A0ABY8H9H5
UniRef50_A0A0W8IE77	248	LysM domain-containing protein n=44 Tax=Actinomycetes TaxID=1760 RepID=A0A0W8IE77_9MICC	19	A0A0W8IE77,A0A917EPQ6,A0A4R7FW27,A0A7Z0KB18,A0ABP6LR69,A0ABS4T161,A0ABU2DQW1,A0ABY8H9U9,A0A3A5M8Z0,A0A542ECZ2,A0A7Z0E9T5,A0ABP6PTD6,A0ABP9G1N7,A0A2T0YLF6,A0A839FQH1,A0ABP6RH04,A0ABT2HNR7,A0ABU1FTV6,A0A7W5XK42
UniRef50_A0A0W8IEE9	321	Resuscitation-promoting factor core lysozyme-like domain-containing protein n=27 Tax=Micrococcales TaxID=85006 RepID=A0A0W8IEE9_9MICO	6	A0A0W8IEE9,A0A345NQR1,A0A542YP30,A0ABV5V5A5,A0A1B1NF30,A0A917BUC0
UniRef50_A0A0W8IK22	266	Membrane-bound lytic murein transglycosylase B n=17 Tax=Micrococcales TaxID=85006 RepID=A0A0W8IK22_9MICC	4	A0A7J5B3W0,A0A7Z0EBM9,A0A0W8IK22,A0A7W4UQB2
UniRef50_A0A0X1KP47	294	Lytic transglycosylase n=5 Tax=Thermotogaceae TaxID=188709 RepID=A0A0X1KP47_9THEM	3	A0A124FG76,A0A0X1KP47,A0A832IBY2
UniRef50_A0A0X1KPJ3	180	Lytic transglycosylase n=12 Tax=Thermotogaceae TaxID=188709 RepID=A0A0X1KPJ3_9THEM	4	F7YX28,A0A0X1KPJ3,A8F5Y3,A0A832I8L0
UniRef50_A0A0X1U7P6	898	Penicillin-binding protein 1A n=8 Tax=Clostridia TaxID=186801 RepID=A0A0X1U7P6_ANAPI	1	A0A0X1U7P6
UniRef50_A0A0X3AN89	918	Predicted chitinase n=4 Tax=Apibacter TaxID=1778601 RepID=A0A0X3AN89_9FLAO	1	A0A0X3AN89
UniRef50_A0A0X3TLU3	123	Glycosyl transferase family 51 domain-containing protein n=3 Tax=Ruegeria TaxID=97050 RepID=A0A0X3TLU3_9RHOB	1	A0A0X3TLU3
UniRef50_A0A0X3TQJ4	229	Tail length tape measure protein n=7 Tax=Rhodobacterales TaxID=204455 RepID=A0A0X3TQJ4_9RHOB	2	A0A0X3TQJ4,A0A1H5XQH9
UniRef50_A0A0X3TRN8	231	Tail length tape measure protein n=2 Tax=Ruegeria profundi TaxID=1685378 RepID=A0A0X3TRN8_9RHOB	1	A0A0X3TRN8
UniRef50_A0A0X3U1F6	163	Transglycosylase SLT domain-containing protein n=155 Tax=Alphaproteobacteria TaxID=28211 RepID=A0A0X3U1F6_9RHOB	59	A0A1H8A0W2,A0A1H8LF62,A0A1I5QZH5,A0A2H5F383,A0A6P1T268,A0AAE3NS90,A0ABT2X598,A0ABY2KQL7,A0A0N8K6W3,A0A1I4BDY5,A0A2W7SSK8,A0A3B0M671,A0A6L5Z060,A0A858SS39,A0ABS6J4S3,A0ABT2Z8N4,A0ABT3J543,A0ABX0W1I2,A0A1I1DPD9,A0A2S5JKT0,A0A2S8S493,A0A3P3DMT7,A0A4R1NN04,A0A6L7G468,A0A7C9HAR0,A0A917YHZ1,A0ABT2NUC2,A0ABT2ZRR1,A0ABU3DIF9,A0ABU9T4F1,A0A0X3U1F6,A0A1G8P052,A0A1H8DKT3,A0A2K9EJ13,A0A2R8BM09,A0A2T4JUU1,A0A4R2KEK0,A0A4U0YT10,A0A5A9ZJT0,A0ABT4ZGP0,A0ABU8BRZ1,A0ABY5X0X9,Q3J060,S5XWJ5,A0A0L6CZT9,A0A0P1GLK9,A0A1N6F0P8,A0A285CMP3,A0A2V1PAU1,A0A318SNW9,A0A438AKC3,A0A6M1TW25,A0A9Q9HNL0,A0AAX1URJ5,A0ABQ1L5V4,A0ABT2YWF3,A0ABU1F2R3,A0ABV7GK44,A0ABX5JAJ6
UniRef50_A0A0X3VGJ6	68	Uncharacterized protein n=1 Tax=Streptomyces regalis TaxID=68262 RepID=A0A0X3VGJ6_9ACTN	1	A0A0X3VGJ6
UniRef50_A0A0X8E3I3	849	PASTA domain-containing protein n=410 Tax=Microbacteriaceae TaxID=85023 RepID=A0A0X8E3I3_9MICO	122	A0A160KU38,A0A162GP86,A0A1H1UKM5,A0A1H1Z1D3,A0A2S3Z6N5,A0A2S3Z7F6,A0A2S3Z9C6,A0A4Q2L276,A0A4Q7MD14,A0A4Q8AQ96,A0A4R8W1D6,A0A4R8WV12,A0A4R8ZGM9,A0A4R8ZUC9,A0A4V3IUE3,A0A4Y8JXX2,A0A9W6CZR4,A0ABX5AWW1,A0A1H1V504,A0A2S5Y579,A0A3N2C578,A0A4R8WZG2,A0A4R9A8H8,A0A4R9ARP3,A0A4R9BIK7,A0A4Y9QXK4,A0A7W8ZYJ2,A0A917PI71,A0AA41QW89,A0A191WDK2,A0A1H8G9B3,A0A1N6DKT0,A0A3A5MRT9,A0A3M8A4Y9,A0A4Q2KV20,A0A4R8XWC3,A0A4R8XYY9,A0A4R9AE05,A0A4R9BV25,A0A4V3IDN2,A0A5E9FWH6,A0A5S4UVL1,A0A7Z0J703,A0A918FAC5,A0AAD1AF76,A0A0X8E3I3,A0A1G8Y8F3,A0A1H1PM75,A0A317ZRD9,A0A3M8AFE4,A0A4R8UD31,A0A4R9AFS6,A0A4V3WTB0,A0A4V6QI23,A0A4Y8JZC1,A0A918CH28,A0AAE6RMN4,A0AAQ2C4Y2,A0AAQ2C8J8,A0A0X8E1V7,A0A191WEJ9,A0A1I3AWS3,A0A3A5MM93,A0A3A5MP75,A0A4V3ITH8,A0A4Y8KND0,A0A4Y8KVG5,A0A4Y9QXK7,A0A4Y9R4B5,A0A5E9FUL7,A0A852WR24,A0A1B1BFX4,A0A2S3Z9K4,A0A317ZW14,A0ABM8H5L8,A0ABU1FJY4,A0ABU9W6B3,A0ABV9R787,A0ABY1RGW6,A0ABY1RGZ6,A0ABY2HXA1,A0ABY7NFT3,A0A1G9C280,A0ABN2MBG6,A0ABN6YD71,A0ABP4WXW5,A0ABP7KFK4,A0ABU0R3N7,A0ABU9W6Q1,A0ABX5AZY3,A0ABY2I526,A0ABY2ISG6,A0ABY2JB83,A0ABY7NAW5,A0A2S0WXD3,A0A3N2C591,A0A4V6QGT7,A0ABW1VB69,A0ABY1LPJ9,A0ABY2ID08,A0ABY2IEW3,A0ABY2JHN5,A0A4R8UJQ2,A0A4R8UXG8,A0ABD6W6U9,A0ABN2U0A3,A0ABP7KIZ3,A0ABT1KMK5,A0ABX5ABU7,A0ABY1LPJ5,A0ABY2IGE5,A0ABY2ILD4,A0ABY2J9X4,A0ABY2JJ60,A0ABY7NH90,A0A2S3Z6T7,A0A4R9AZ39,A0AA41QWB5,A0ABN2MP72,A0ABX5LGQ8,A0ABY2J7T9,A0ABY4ATI8
UniRef50_A0A0X8FB17	234	LysM domain-containing protein n=62 Tax=Lactobacillales TaxID=186826 RepID=A0A0X8FB17_9LACT	7	A0AAU8UQ15,A0AA47GB25,A0AAC9F3U8,A0A7M1KS90,A0ABN0A9S7,A0ABR5ZZW2,A0A2J9PMD1
UniRef50_A0A0X8FCD1	834	Penicillin-binding protein n=7 Tax=Aerococcus TaxID=1375 RepID=A0A0X8FCD1_9LACT	2	A0A5N1GMP1,A0A0X8FCD1
UniRef50_A0A0X8FED4	822	PBP1A family penicillin-binding protein n=89 Tax=Aerococcus TaxID=1375 RepID=A0A0X8FED4_9LACT	19	A0A2J9PK97,A0A3N4HF15,A0A9Q4DEK3,A0AA47GCL6,A0A9X3FN88,A0A1W1Y7V1,A0A5N1BEY0,A0AAC8X1Z2,A0AAE9XND1,A0A0X8FED4,A0A7M1KU00,A0AAU8UL68,A0A109RGY0,A0A178HD59,A0A2N6UFV4,A0ABR5ZYH5,A0ABN0A8Q2,A0ABT4C0U0,A0ABT4C2N2
UniRef50_A0A0X8GZD1	237	peptidoglycan glycosyltransferase n=1 Tax=Erysipelothrix larvae TaxID=1514105 RepID=A0A0X8GZD1_9FIRM	1	A0A0X8GZD1
UniRef50_A0A0X8HER8	383	Membrane-bound lytic murein transglycosylase D n=22 Tax=Halomonadaceae TaxID=28256 RepID=A0A0X8HER8_9GAMM	7	A0ABS9P5Z0,A0A368TRZ4,A0A7V9VY03,A0ABX7W4C6,A0A7V7KIG9,A0A0X8HER8,A0ABX0PNM2
UniRef50_A0A0X8JDW2	309	G5 domain-containing protein n=29 Tax=Actinomyces TaxID=1654 RepID=A0A0X8JDW2_ACTRD	10	A0A0X8JDW2,G9PHP4,U1RF49,W1VD88,A0A2I1KR04,C0W7V1,A0A1L7RST9,A0A1G9ZQ85,A0A1M4RXE7,A0A9E7AH93
UniRef50_A0A0X8JJB7	185	Lysozyme n=4 Tax=Desulfovibrio TaxID=872 RepID=A0A0X8JJB7_9BACT	1	A0A0X8JJB7
UniRef50_A0A0X8JK53	212	Pesticin C-terminal domain-containing protein n=18 Tax=Desulfovibrio TaxID=872 RepID=A0A0X8JK53_9BACT	4	A0A109W3Y5,A0AA94HRE2,A0ABQ0EA11,A0A0X8JK53
UniRef50_A0A0X8JQR7	136	Transglycosylase SLT domain-containing protein n=2 Tax=Thermodesulfobacteriota TaxID=200940 RepID=A0A0X8JQR7_9BACT	1	A0A0X8JQR7
UniRef50_A0A0X8XA68	197	Transglycosylase SLT domain-containing protein n=1 Tax=Halorhodospira halochloris TaxID=1052 RepID=A0A0X8XA68_HALHR	1	A0A0X8XA68
UniRef50_A0A100JM42	230	Resuscitation-promoting factor RpfA n=642 Tax=Actinomycetes TaxID=1760 RepID=A0A100JM42_STRSC	107	A0A0J7Z8V3,A0A344U6Z1,A0A3G2JK38,A0A3R8Q5E6,A0A5N8WJ84,A0A6H9UX11,A0A7H1Q3E7,A0A7W7U6P4,A0A918ITI3,A0AAV4KNJ2,A0ABN5VK06,A0ABP6NGZ3,A0ABU2Z4V1,A0ABV3CFW4,A0ABV6UM25,A0ABW1B2B8,A0ABX1HCR0,C9YY36,G2GAY1,L1L8L5,A0A0B5EWE9,A0A124GYI7,A0A1D3DUD2,A0A1H8A7Y9,A0A4U0SP11,A0A4Y3VIY7,A0A5P2AUH6,A0A7W3NP69,A0A7W9PU55,A0A918WBF6,A0A919GNG4,A0A931AZN9,A0ABN3LZI7,A0ABQ3RNC3,A0ABT6RQE1,A0ABT6T4I0,A0ABU7Y0Z1,A0ABV3B1U3,A0ABV6XVN1,A0ABV9IJ82,A0ABW0CQ38,A0ABW6XWJ3,A0ABW7BW19,A0ABX8XUE4,A0ABZ1KPR4,M3FFL5,A0A0D0PXS9,A0A101JM95,A0A101TTP0,A0A2T7TE77,A0A7M2TFY8,A0A7X1I5K1,A0A927QHD3,A0A964XKQ1,A0AAE8VT55,A0AB39SXH9,A0ABN1HCM3,A0ABP7W028,A0ABQ3P6G5,A0ABT2AVD0,A0ABT6S682,A0ABU2TYM1,A0ABU3QTD7,A0ABU4KWV5,A0ABU4NNG2,A0ABU8ULC8,A0ABV6W3X9,A0ABV9ALG9,A0ABW2WAQ3,F2R6D5,A0A0B5I7C7,A0A100JM42,A0A1H4WZI1,A0A345I1G9,A0A919EMA7,A0AAU1I1P6,A0AB39PWE5,A0ABP4JRE4,A0ABP8SXW1,A0ABT0IH97,A0ABU4JZY6,A0ABU8AKL5,A0ABU8GQV4,A0ABV2UW82,A0ABV5N8B6,A0ABW2JWQ5,L8PCK3,A0A2S9Q1Z4,A0A370BCJ0,A0A3S9M7Q9,A0A4Y3RQY6,A0A5P8K5X7,A0A7M2SNE1,A0A8I0TRM3,A0A9X1Q3N7,A0AAJ2PYA0,A0AB39N1W8,A0ABS1P4M2,A0ABT0NRJ5,A0ABU4MQ96,A0ABV1XSA5,A0ABW6YUN0,A0ABW7UGI4,A0ABX1A0Q3,A0ABY4TD73,A0ABZ1IT52,A0ABZ1LID0
UniRef50_A0A100JQ97	368	Resuscitation-promoting factor RpfA n=18 Tax=Streptomyces TaxID=1883 RepID=A0A100JQ97_STRSC	2	N0CU71,A0A100JQ97
UniRef50_A0A100W1S2	462	Gp88 n=2 Tax=Mycolicibacterium brisbanense TaxID=146020 RepID=A0A100W1S2_9MYCO	1	A0A100W1S2
UniRef50_A0A100WBK0	1235	Gp16 n=4 Tax=Mycobacteriaceae TaxID=1762 RepID=A0A100WBK0_MYCCR	1	A0A100WBK0
UniRef50_A0A100YXK2	185	Lytic transglycosylase n=11 Tax=Atopobiaceae TaxID=1643824 RepID=A0A100YXK2_TRASO	2	A0ABT1Z715,A0A100YXK2
UniRef50_A0A101FHU9	398	Transglycosylase SLT domain-containing protein n=12 Tax=Thermodesulfobacteriaceae TaxID=188711 RepID=A0A101FHU9_9BACT	9	A0A2N7PJF1,A0A0U5BYK6,A0A101FHU9,A0A7C4JQG5,F8C5V7,A0A7V5XG23,A0A832GN98,A0AAE3P4U3,A0A7V4JPL3
UniRef50_A0A101FKB3	341	Lytic murein transglycosylase n=18 Tax=Thermodesulfobacteriaceae TaxID=188711 RepID=A0A101FKB3_9BACT	10	A0A0U5AEJ1,A0A7V6CD71,A0A2N7PQ71,A0AAE3P4A4,F8C3U5,A0A7V4JPQ2,A0A7V5N0M1,A0A832GNM2,A0A101FKB3,A0A2N7PL97
UniRef50_A0A101HCS6	498	LysM domain-containing protein n=23 Tax=Bacteroidales TaxID=171549 RepID=A0A101HCS6_9BACT	3	A0A101HCS6,A0A098BW89,A0A1R3TA83
UniRef50_A0A101HFN9	196	Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain-containing protein n=1 Tax=candidate division WS6 bacterium 34_10 TaxID=1641389 RepID=A0A101HFN9_9BACT	1	A0A101HFN9
UniRef50_A0A101HGB6	258	Glycosyl transferase family 51 domain-containing protein (Fragment) n=6 Tax=Bacteroidales TaxID=171549 RepID=A0A101HGB6_9BACT	3	J9D4K2,A0A101HGB6,W4USH5
UniRef50_A0A101HGV2	286	Glycoside hydrolase family 23 (Fragment) n=1 Tax=Proteiniphilum acetatigenes TaxID=294710 RepID=A0A101HGV2_9BACT	1	A0A101HGV2
UniRef50_A0A101HYU3	182	Membrane-bound lytic murein transglycosylase B-like protein (Fragment) n=1 Tax=candidate division TA06 bacterium 34_109 TaxID=1635277 RepID=A0A101HYU3_UNCT6	1	A0A101HYU3
UniRef50_A0A101I1Q2	708	Penicillin-binding protein, 1A family n=3 Tax=Bacteria candidate phyla TaxID=1783234 RepID=A0A101I1Q2_UNCT6	3	A0A348ML48,A0A101I1Q2,A0A7C3N6K0
UniRef50_A0A101I2K8	558	Lytic transglycosylase catalytic n=3 Tax=Bacteria candidate phyla TaxID=1783234 RepID=A0A101I2K8_UNCT6	3	A0A7C3J6I9,A0A101I2K8,A0A348MMB4
UniRef50_A0A101J7U0	189	Resuscitation-promoting factor core lysozyme-like domain-containing protein n=26 Tax=Streptomyces TaxID=1883 RepID=A0A101J7U0_9ACTN	5	A0A101J7U0,A0A3S9M3K6,A0AB39PTK5,G2GCG2,A0ABP7UJW3
UniRef50_A0A101JDI7	276	Lytic transglycosylase n=3 Tax=Actinoplanes TaxID=1865 RepID=A0A101JDI7_9ACTN	1	A0A101JDI7
UniRef50_A0A101JSJ3	519	Penicillin-binding protein (Fragment) n=2 Tax=Chlorobium limicola TaxID=1092 RepID=A0A101JSJ3_CHLLI	1	A0A101JSJ3
UniRef50_A0A101KRW7	234	Glycosyl transferase family 51 domain-containing protein n=2 Tax=Mesorhizobium TaxID=68287 RepID=A0A101KRW7_RHILI	2	A0A101KRW7,A0ABU4Y154
UniRef50_A0A101NDX4	224	Uncharacterized protein (Fragment) n=4 Tax=Streptomyces TaxID=1883 RepID=A0A101NDX4_9ACTN	1	A0A101NDX4
UniRef50_A0A101R3P7	355	Peptidase n=161 Tax=Actinomycetes TaxID=1760 RepID=A0A101R3P7_9ACTN	9	A0AB37XCH3,A0AAU2AH94,A0ABR4S2T0,A0A101R3P7,A0A385DCH9,A0A7Y6KKG3,A0ABX7EGS1,A0ABY3GXF4,A0A8G1ZPG5
UniRef50_A0A101SN93	239	LysM domain-containing protein n=735 Tax=Streptomycetaceae TaxID=2062 RepID=A0A101SN93_9ACTN	110	A0A101SN93,A0ABX7TS08,A0A514JZE1,A0A101NX57,A0A101PU96,A0A117MK47,A0A250VEK2,A0A4U5WDX5,A0A6G4XFM2,A0A918YC83,A0AAP6EJJ3,A0ABP4JTC3,A0ABP7UKT9,A0ABP9LHK8,A0ABV1TW17,A0ABV6TTQ1,A0ABW1M2D8,A0ABX6ADB0,A0ABY4ZG32,A0ABZ1GKD3,A0ABZ1XGE6,L7EXM1,A0A5N8VUY8,A0A7H8TGF8,A0AAE6Y656,A0AAU2H8E7,A0ABN3BLN4,A0ABP6N3L9,A0ABR7SIF3,A0ABS1P5S8,A0ABS7QNV7,A0ABU0S0T8,A0ABU3UX23,A0ABV1WIQ1,A0ABW0CKP1,A0ABW0XRL8,A0A1I2GW11,A0A1S2QCJ5,A0A4P6TRI4,A0A4Z1CWY3,A0A6G4X107,A0A6I6N4Q8,A0A6M4PP57,A0A7H0IL91,A0A7J5D3I6,A0A7K3QVB4,A0A7W2DQS0,A0A918YG13,A0AAU2AC16,A0AB39RD94,A0ABN1NKS2,A0ABQ3RTT8,A0ABV1XYH1,A0ABV2ZYI1,A0ABV3BCP2,A0ABW6H6R2,A0ABW9IEW5,A0ABZ1V722,A0A0L0KPW3,A0A101QWA3,A0A1E7K3F1,A0A1H9T500,A0A1V6MPT4,A0A2I0SL20,A0A3Q9EQW9,A0A4U5X003,A0A5Q0LLB1,A0A6M4WKR1,A0A7M2SSK0,A0A917P7I7,A0A917YCW4,A0A918FT91,A0A919AL39,A0A919KFK3,A0AA40SHS8,A0AAE9AXU0,A0ABM6SXS9,A0ABU0NLT1,A0ABV3ALF0,A0ABV9UJH8,A0ABW1B9S1,A0ABW1DUL1,A0ABW7YGC0,A0ABW9HYK6,A0ABX1ILV5,A0ABZ1KII8,A0ABZ1R6T4,A0A1G7H738,A0A3G2JI57,A0A4Z1DDL5,A0A6B3BY23,A0A917XP79,A0A918HPB9,A0ABN1HHW7,A0ABN1SYR5,A0ABP3S6Y0,A0ABP6Q8R3,A0ABP6U8J6,A0ABQ3CI82,A0ABQ3QIR6,A0ABS2VVS4,A0ABS9JF09,A0ABU0PZ40,A0ABV2UQ46,A0ABW3XPD3,A0ABW7VHE5,A0ABX1AFF1,D5ZR81,L1L0X5,V6JQG3
UniRef50_A0A101U1P4	450	Transglycosylase SLT domain-containing protein n=100 Tax=Streptomyces TaxID=1883 RepID=A0A101U1P4_9ACTN	7	A0ABS4V3R9,A0A0J7Z352,A0A101U1P4,A0A5D4JFL9,A0A6G5RND2,A0A9X1TKM0,A0ABV1Q2V5
UniRef50_A0A101XRD8	248	Glycosyl transferase n=1 Tax=Ferroacidibacillus organovorans TaxID=1765683 RepID=A0A101XRD8_9BACL	1	A0A101XRD8
UniRef50_A0A103MA37	227	Lytic transglycosylase n=576 Tax=Burkholderia TaxID=32008 RepID=A0A103MA37_BURVI	103	A0A071MJF5,A0A0G3YLZ1,A0A105V9M4,A0A107FRU3,A0A124SRW5,A0A132EY89,A0A1E3FIG2,A0A1V2W0M0,A0A2A4FIP0,A0A2S9N0J9,A0A2Z5N1L0,A0A318I9B6,A0A6P2GTS5,A0A6P2IV95,A0A9Q9SN70,A0AA88YWQ2,A0AAJ5NHQ9,A0AAW3PTL3,A0AAW4TG41,A0AB74D7W1,A0ABD4DTR6,A0ABZ3DRE8,A4JJI9,Q0B6Y4,A0A1R1J2A4,A0A365QGV5,A0A3P0DTA4,A0A427NNV0,A0A6J5EJN8,A0A6J5JL80,A0A6L3NHN5,A0A6P2U8I2,A0A7T6VKJ9,A0AAD0N8A7,A0AAW3N4R5,A0AB73G640,A0ABV2CG46,A0ABZ3BQT7,A0A0H3KP64,A0A103R9U6,A0A108EEX3,A0A108HF47,A0A132EEK8,A0A1Y1BRE8,A0A2S5E5Z8,A0A2S8IZA9,A0A3N8PE50,A0A6H9T025,A0A6J5JQE7,A0A6P2PNH0,A0A6P2UAZ0,A0A6P2ZTZ7,A0A6P3C5Y8,A0A8E2UW91,A0A8I1DRR1,A0AA40UV87,A0AA41JL22,A0AAE8NDA6,A0AAN0VQM6,A0AAW3P6A6,A0AAX2RBK9,A0ABD4U7T0,A0ABS1AUJ6,A0ABT8PD18,A0ABU5WXH8,B1F9F4,B1Z060,B4EI03,Q39AA2,A0A0H2XV64,A0A103MA37,A0A108KTA7,A0A1B4Q2T3,A0A3S9NIN8,A0A6P2KQ04,A0A6P2WWZ2,A0A6P2YGS4,A0A833U5K4,A0A892IHK5,A0A9W3K2T0,A0AAP1GAX1,A0AAQ0FED1,A0AB37AUT6,A0ABD7L7Y0,A0ABM6P6Q9,B1T0S4,A0A0J5XDU5,A0A102JYX8,A0A108CIH5,A0A1B4LNJ3,A0A1X1P7P2,A0A228IHD4,A0A4Q2AGE8,A0A6P2GIH9,A0A6P2I7I8,A0AAP4R8U7,A0AAU8UP95,A0ABD4AHE5,A0ABT8P253,A0ABU9WM41,A0ABW7L6A3,B1K6W1,B9BRJ5
UniRef50_A0A103XI86	466	chitinase n=3 Tax=asterids TaxID=71274 RepID=A0A103XI86_CYNCS	3	A0A103XI86,A0AAD2DYZ0,A0AAD5DE97
UniRef50_A0A104ATU6	125	Lysozyme n=1 Tax=Burkholderia cepacia TaxID=292 RepID=A0A104ATU6_BURCE	1	A0A104ATU6
UniRef50_A0A106BRK7	649	SLT domain-containing protein n=23 Tax=Betaproteobacteria TaxID=28216 RepID=A0A106BRK7_THIDE	4	A0A106BRK7,A0ABZ1CHX5,A0A7C9JWW7,Q3SGD5
